error;time;
1; 14.716780;
2; 9.510170;
3; 3.073587;
4; 5.387371;
5; 4.269320;
6; 3.810008;
7; 3.569107;
8; 3.714941;
9; 3.976486;
10; 3.949552;
11; 3.967113;
12; 4.895889;
13; 5.190881;
14; 4.202604;
15; 2.929956;
16; 3.532155;
