time; error;
6.705149;0.000153;
4.170441;0.000059;
2.383598;-0.000068;
2.119035;-0.001059;
1.811333;-0.001482;
2.088694;0.000079;
1.477198;-0.000969;
1.388895;-0.000116;
1.417001;0.000408;
1.381205;0.001583;
1.379153;0.001500;
1.450011;-0.000702;
1.418085;0.002372;
1.509450;-0.000004;
1.473415;0.001854;
1.426916;-0.000651;
