time; error;
0.600588;-0.000052;
0.334661;0.000268;
0.323085;-0.000331;
0.252984;-0.000667;
0.220638;-0.003050;
0.186874;-0.003987;
0.216820;-0.003077;
0.226085;-0.003916;
0.211195;-0.003454;
0.194054;-0.002329;
0.183411;-0.001930;
0.203003;0.002006;
0.207665;0.001862;
0.207049;0.002339;
0.204156;0.002808;
0.177544;0.004927;
