time;error;
189.198545;-0.000005;
92.130028;-0.000035;
68.528382;0.000053;
47.313697;0.000025;
54.101053;0.000094;
47.682760;-0.000013;
48.923458;0.000090;
48.381094;0.000042;
50.511527;-0.000103;
45.352169;0.000188;
45.830642;-0.000114;
45.359128;0.000162;
45.917237;-0.000178;
45.536838;-0.000221;
44.750268;0.000296;
45.253334;0.000093;
