time; error;
0.803775;-0.000537;
0.413649;0.001816;
0.314760;0.002601;
0.254461;0.004323;
0.217010;0.005112;
0.206005;-0.000884;
0.235433;-0.000521;
0.197240;-0.001263;
0.223453;-0.000488;
0.206412;-0.000829;
0.210498;-0.001046;
0.222738;-0.001050;
0.201567;-0.001679;
0.187890;-0.001088;
0.190312;-0.000183;
0.211630;0.001090;
