time; error;
0.583456;0.000544;
0.326541;-0.001265;
0.282874;-0.003481;
0.204002;-0.002329;
0.185202;-0.003030;
0.159312;-0.002377;
0.139930;-0.003381;
0.139750;-0.004287;
0.164862;-0.004085;
0.153804;-0.000829;
0.175506;-0.000731;
0.164638;-0.001429;
0.148378;-0.001935;
0.156221;-0.002262;
0.180966;-0.000627;
0.176748;-0.002621;
